ID_DESA,NAMA_PROV,NAMA_KAB,NAMA_KEC,NAMA_DESA,R601IK2,R601IK3,R601IK4,R601IK5,R601IK6,R601IK7,R601IK8,TARGET,NAMA_DESA_Y,KABUPATEN,NAMA_KEC_Y,RAIN_MAX_2024_MM,RAIN_MEAN_2024_MM,RAIN_MEDIAN_2024_MM,UNNAMED:_6,UNNAMED:_7,LST_MAX_2024_C,LST_MEAN_2024_C,LST_MEDIAN_2024_C,NDVI_MAX_2024,NDVI_MEAN_2024,NDVI_MEDIAN_2024
140102020,RIAU,BENGKALIS,BANTAN,TELUK PAMBANG,2,0,0,,0,0,,0,,,,,,,,,33.28881991096725,28.61688785280359,28.61737827715359,0.8561840425531914,0.6638484135017733,0.7515316035415642
140102021,RIAU,BENGKALIS,BANTAN,TELUK PAPAL,2,0,0,,0,0,,0,Teluk Papal,Teluk Papal,Bantan,44.541.046.142.578.100,6.636.999.607.086.180,4.854.262.351.989.740,,,33.139571020019105,28.571857711301544,28.85827454718784,0.8206377025738798,0.6924645024246694,0.7406531458531935
140102022,RIAU,BENGKALIS,BANTAN,ULU PULAU,2,0,0,,0,0,,0,Ulu Pulau,Ulu Pulau,Bantan,4.209.574.737.548.820,6.668.683.320.999.140,4.870.270.385.742.180,,,31.45575325087221,28.41642045149225,28.40769584522678,0.8629113542657784,0.7509031860615838,0.8047856327307327
140103001,RIAU,BENGKALIS,BATHIN SOLAPAN,AIR KULIM,2,0,0,,0,0,,0,,,,,,,,,33.28881991096725,28.61688785280359,28.61737827715359,0.8561840425531914,0.6638484135017733,0.7515316035415642
140103002,RIAU,BENGKALIS,BATHIN SOLAPAN,BALAI MAKAM,2,0,0,,0,0,,0,,,,,,,,,33.28881991096725,28.61688785280359,28.61737827715359,0.8561840425531914,0.6638484135017733,0.7515316035415642
140103003,RIAU,BENGKALIS,BATHIN SOLAPAN,BATHIN SOBANGA,2,0,0,,0,0,,0,Bathinsobanga,Bathinsobanga,Bathin Solapan,4.011.629.201.045.260,6.543.688.166.097.190,4.569.413.130.168.130,,,32.97125678377609,29.46575041179064,29.327953441873778,0.8561045701228223,0.7022143350347104,0.765558254784347
140103004,RIAU,BENGKALIS,BATHIN SOLAPAN,BONCAH MAHANG,2,0,0,,0,0,,0,Boncahmahang,Boncahmahang,Bathin Solapan,48.287.013.164.182.900,70.588.689.937.072.500,4.290.276.230.597.980,,,32.76995110024451,29.00299037496882,28.95302227655532,0.8094796522684053,0.6649927494891513,0.7221735397989676
140103005,RIAU,BENGKALIS,BATHIN SOLAPAN,BULUH MANIS,2,0,0,,0,0,,0,Buluhmanis,Buluhmanis,Bathin Solapan,4.462.690.791.077.280,7.507.018.345.203.170,5.074.833.778.494.260,,,34.08173277876201,29.86727565585289,29.730713497137312,0.8235298184805773,0.685568213617138,0.7379452591850882
140103006,RIAU,BENGKALIS,BATHIN SOLAPAN,BUMBUNG,2,0,0,,0,0,,0,Bumbung,Bumbung,Bathin Solapan,3.978.086.248.035.740,6.708.655.849.641.150,4.610.916.736.770.990,,,33.60967360606798,29.87959243225661,29.91052912934726,0.8130049402888728,0.6659979510698536,0.7177535443395463
140103007,RIAU,BENGKALIS,BATHIN SOLAPAN,KESUMBO AMPAI,2,0,0,,0,0,,0,,,,,,,,,33.28881991096725,28.61688785280359,28.61737827715359,0.8561840425531914,0.6638484135017733,0.7515316035415642
