NAMA_PROV,NAMA_KAB,NAMA_KEC_X,NAMA_DESA_X,R601IK2,R601IK3,R601IK4,R601IK5,R601IK6,R601IK7,R601IK8,ID_UNIK_PODES,TARGET,KEY_JOIN,NAMA_DESA_Y,KABUPATEN,NAMA_KEC_Y,RAIN_MAX_2024_MM,RAIN_MEAN_2024_MM,RAIN_MEDIAN_2024_MM,UNNAMED:_6,UNNAMED:_7,ID_UNIK_SAT,LST_MAX_2024_C,LST_MEAN_2024_C,LST_MEDIAN_2024_C,NDVI_MAX_2024,NDVI_MEAN_2024,NDVI_MEDIAN_2024
RIAU,INDRAGIRI HILIR,ENOK,SUNGAI AMBAT,2,0,0,,0,0,,SUNGAI AMBAT ENOK,0,SUNGAI AMBAT ENOK,,,,,,,,,,33.28881991096725,28.61688785280359,28.61737827715359,0.8561840425531914,0.6638484135017733,0.7515316035415642
RIAU,INDRAGIRI HILIR,ENOK,PUSARAN,2,0,0,,0,0,,PUSARAN ENOK,0,PUSARAN ENOK,Pusaran,Pusaran,Enok,4.532.727.563.936.410,7.782.776.142.799.690,5.533.738.159.806.760,,,PUSARAN ENOK,32.61660675142483,28.880930354264063,28.72995615957915,0.8851180732135026,0.6876151006423571,0.7852564007014462
RIAU,INDRAGIRI HILIR,ENOK,ENOK,2,0,0,,0,0,,ENOK ENOK,0,ENOK ENOK,Enok,Enok,Enok,39.375.778.862.737.800,7.782.603.762.226.720,525.096.070.074.266,,,ENOK ENOK,32.92319464234828,28.7527902318234,28.70781704189232,0.8772644628099175,0.6639271835156804,0.7513273012254204
RIAU,INDRAGIRI HILIR,ENOK,TELUK MEDAN,1,1,0,D,0,0,,TELUK MEDAN ENOK,1,TELUK MEDAN ENOK,,,,,,,,,,33.28881991096725,28.61688785280359,28.61737827715359,0.8561840425531914,0.6638484135017733,0.7515316035415642
RIAU,INDRAGIRI HILIR,ENOK,RANTAU PANJANG,2,0,0,,0,0,,RANTAU PANJANG ENOK,0,RANTAU PANJANG ENOK,Rantau Panjang,Rantau Panjang,Enok,4.249.817.299.699.490,79.203.846.411.619,5.490.164.828.443.810,,,RANTAU PANJANG ENOK,33.79086764473895,28.185529444597737,28.20626518378296,0.8720015144344528,0.6629224812581878,0.754226108218962
RIAU,INDRAGIRI HILIR,ENOK,JAYA BHAKTI,2,0,0,,0,0,,JAYA BHAKTI ENOK,0,JAYA BHAKTI ENOK,Jaya Bhakti,Jaya Bhakti,Enok,4.456.790.429.234.020,787.206.610.139.594,5.216.850.181.181.260,,,JAYA BHAKTI ENOK,33.12382955086498,28.457890983247008,28.588082843993064,0.876991255356293,0.6758932115675224,0.7870610696714807
RIAU,INDRAGIRI HILIR,ENOK,SUNGAI LOKAN,1,1,0,D,0,0,,SUNGAI LOKAN ENOK,1,SUNGAI LOKAN ENOK,,,,,,,,,,33.28881991096725,28.61688785280359,28.61737827715359,0.8561840425531914,0.6638484135017733,0.7515316035415642
RIAU,INDRAGIRI HILIR,ENOK,PANTAI SEBERANG MAKMUR,1,2,0,D,1,0,D,PANTAI SEBERANG MAKMUR ENOK,1,PANTAISEBERANG MAKMUR ENOK,Pantaiseberang Makmur,Pantaiseberang Makmur,Enok,44.084.334.154.448.400,7.756.580.288.900.710,5.598.099.449.034.510,,,PANTAISEBERANG MAKMUR ENOK,32.42469678158727,28.50137673671689,28.42185942125874,0.8964885636519913,0.6915628983569528,0.7864319262725626
RIAU,INDRAGIRI HILIR,ENOK,SIMPANG TIGA DARATAN,2,0,0,,0,0,,SIMPANG TIGA DARATAN ENOK,0,SIMPANG TIGA DARATAN ENOK,Simpang Tiga Daratan,Simpang Tiga Daratan,Enok,4.335.294.398.824.670,7.922.062.802.860.750,5.292.985.521.200.040,,,SIMPANG TIGA DARATAN ENOK,33.03422273073991,28.51996984935829,28.53720823798629,0.8814900228832951,0.6363667807515007,0.7428145842868038
RIAU,INDRAGIRI HILIR,TANAH MERAH,SUNGAI NYIUR,2,0,0,,0,0,,SUNGAI NYIUR TANAH MERAH,0,SUNGAI NYIUR TANAH MERAH,,,,,,,,,,33.28881991096725,28.61688785280359,28.61737827715359,0.8561840425531914,0.6638484135017733,0.7515316035415642
RIAU,INDRAGIRI HILIR,TANAH MERAH,SELAT NAMA,2,0,0,,0,0,,SELAT NAMA TANAH MERAH,0,SELAT NAMA TANAH MERAH,,,,,,,,,,33.28881991096725,28.61688785280359,28.61737827715359,0.8561840425531914,0.6638484135017733,0.7515316035415642
RIAU,INDRAGIRI HILIR,TANAH MERAH,KUALA ENOK,2,0,0,,0,0,,KUALA ENOK TANAH MERAH,0,KUALA ENOK TANAH MERAH,Kuala Enok,Kuala Enok,Tanah Merah,39.997.748.506.037.000,7.947.107.949.989.500,5.782.834.792.072.880,,,KUALA ENOK TANAH MERAH,36.93275498115241,27.9377071335588,27.98701346257408,0.8683468143459914,0.6597817421370187,0.7243183597046413
RIAU,INDRAGIRI HILIR,TANAH MERAH,SUNGAI LAUT,2,0,0,,0,0,,SUNGAI LAUT TANAH MERAH,0,SUNGAI LAUT TANAH MERAH,,,,,,,,,,33.28881991096725,28.61688785280359,28.61737827715359,0.8561840425531914,0.6638484135017733,0.7515316035415642
RIAU,INDRAGIRI HILIR,TANAH MERAH,TANJUNG PASIR,2,0,0,,0,0,,TANJUNG PASIR TANAH MERAH,0,TANJUNG PASIR TANAH MERAH,,,,,,,,,,33.28881991096725,28.61688785280359,28.61737827715359,0.8561840425531914,0.6638484135017733,0.7515316035415642
RIAU,INDRAGIRI HILIR,TANAH MERAH,TANJUNG BARU,2,0,0,,0,0,,TANJUNG BARU TANAH MERAH,0,TANJUNG BARU TANAH MERAH,,,,,,,,,,33.28881991096725,28.61688785280359,28.61737827715359,0.8561840425531914,0.6638484135017733,0.7515316035415642
RIAU,INDRAGIRI HILIR,TANAH MERAH,TEKULAI HULU,2,0,0,,0,0,,TEKULAI HULU TANAH MERAH,0,TEKULAI HULU TANAH MERAH,Tekulai Hulu,Tekulai Hulu,Tanah Merah,43.349.219.268.223.000,7.895.659.263.778.780,5.574.088.081.623.770,,,TEKULAI HULU TANAH MERAH,33.51485343584818,28.97646687105328,28.865555021624253,0.8703796732340223,0.6650564235421933,0.7787731138875542
